Adsorbate,Facet,CN,Site,n_metal,GCN,Valency,chi,Bader,ed,wd,E_bind,E_ads,n_H,n_H_NN
CHO,211,7,bridge,2,5.39,1,2.55,3.1606,-2.09,1.99,-2.592476,-19.373069,1,0
CHO,221,7,top,1,5.5,1,2.55,3.1606,-2.09,1.99,-2.685714,-19.466307,1,0
CHO,221,7,bridge,2,5.44,1,2.55,3.1606,-2.09,1.99,-2.528887,-19.30948,1,0
CHO,322,7,top,1,5.5,1,2.55,3.1606,-2.02,1.95,-2.72563,-19.506223,1,0
CHO,322,7,bridge,2,5.39,1,2.55,3.1606,-2.02,1.95,-2.613665,-19.394258,1,0
CHO,1AD_100,4,top,1,3,1,2.55,3.1606,-1.85,1.69,-2.591368,-19.371961,1,0
CHO,1AD_111,3,top,1,2.5,1,2.55,3.1606,-1.59,1.6,-2.634499,-19.415092,1,0
CHO,2AD_100,5,top,1,3.58,1,2.55,3.1606,-1.99,1.83,-2.603494,-19.384087,1,0
CHO,2AD_100,5,bridge,2,3.11,1,2.55,3.1606,-1.99,1.83,-2.5863,-19.366893,1,0
CHO,2AD_111,4,bridge,2,2.83,1,2.55,3.1606,-1.75,1.73,-2.7017,-19.482293,1,0
CHO,3AD_111,5,top,1,3.5,1,2.55,3.1606,-1.63,1.74,-2.977021,-19.757614,1,0
CHO,3AD_111,5,bridge,2,3.17,1,2.55,3.1606,-1.63,1.74,-2.555639,-19.336232,1,0
CHO,4AD_100,6,top,1,4.42,1,2.55,3.1606,-2.02,1.96,-2.702038,-19.482631,1,0
COOH,111,9,top,1,7.5,1,2.55,2.4709,-2.08,2.09,-2.635298,-26.407807,0,1
COOH,100,8,top,1,6.67,1,2.55,2.4709,-2,1.96,-2.761332,-26.533841,0,1
COOH,110,7,top,1,5.83,1,2.55,2.4709,-1.94,1.87,-2.84136,-26.613869,0,1
COOH,110,7,bridge,2,5.78,1,2.55,2.4709,-1.94,1.87,-2.568483,-26.340992,0,1
COOH,211,7,top,1,5.5,1,2.55,2.4709,-2.09,1.99,-2.705703,-26.478212,0,1
COOH,221,7,top,1,5.5,1,2.55,2.4709,-2.09,1.99,-2.72061,-26.493119,0,1
COOH,322,7,top,1,5.5,1,2.55,2.4709,-2.02,1.95,-2.7032,-26.475709,0,1
COOH,1AD_111,3,top,1,2.5,1,2.55,2.4709,-1.59,1.6,-2.752722,-26.525231,0,1
COOH,1AD_100,4,top,1,3,1,2.55,2.4709,-1.85,1.69,-2.526069,-26.298578,0,1
COOH,2AD_100,5,top,1,3.58,1,2.55,2.4709,-1.99,1.83,-2.671716,-26.444225,0,1
COOH,2AD_100,5,bridge,2,3.11,1,2.55,2.4709,-1.99,1.83,-2.560672,-26.333181,0,1
COOH,2AD_111,4,top,1,2.92,1,2.55,2.4709,-1.75,1.73,-2.799082,-26.571591,0,1
COOH,2AD_111,4,bridge,2,2.83,1,2.55,2.4709,-1.75,1.73,-2.54279,-26.315299,0,1
COOH,3AD_111,5,top,1,3.5,1,2.55,2.4709,-1.63,1.74,-2.858218,-26.630727,0,1
COOH,3AD_111,5,bridge,2,3.17,1,2.55,2.4709,-1.63,1.74,-2.519106,-26.291615,0,1
COOH,4AD_100,6,top,1,4.42,1,2.55,2.4709,-2.02,1.96,-2.730341,-26.50285,0,1
COOH,4AD_100,6,bridge,2,4,1,2.55,2.4709,-2.02,1.96,-2.389471,-26.16198,0,1
CO2,111,9,top,1,7.5,0,2.55,2.0696,-2.08,2.09,-0.253019,-22.587905,0,0
CO2,100,8,top,1,6.67,0,2.55,2.0696,-2,1.96,-0.277038,-22.611924,0,0
CO2,110,7,top,1,5.83,0,2.55,2.0696,-1.94,1.87,-0.220719,-22.555605,0,0
CO2,211,7,top,1,5.5,0,2.55,2.0696,-2.09,1.99,-0.172185,-22.507071,0,0
CO2,221,7,top,1,5.5,0,2.55,2.0696,-2.09,1.99,-0.267243,-22.602129,0,0
